date,open,high,low,close,volume,amount
2020-01-02,2.768,2.797,2.767,2.778,5154330,1589411888.0
2020-01-03,2.785,2.787,2.761,2.765,3359494,1033552688.0
2020-01-06,2.75,2.779,2.726,2.747,5843986,1788059232.0
2020-01-07,2.753,2.771,2.748,2.759,3964978,1213624512.0
2020-01-08,2.747,2.75,2.721,2.73,4421800,1343852752.0
2020-01-09,2.748,2.76,2.743,2.754,3100535,947161696.0
2020-01-10,2.764,2.768,2.749,2.758,2455258,750911280.0
2020-01-13,2.76,2.778,2.742,2.777,3616240,1107041072.0
2020-01-14,2.782,2.797,2.766,2.773,3768133,1162867648.0
2020-01-15,2.77,2.776,2.742,2.743,4097596,1251576032.0
2020-01-16,2.752,2.755,2.724,2.733,3868720,1176398400.0
2020-01-17,2.738,2.76,2.73,2.739,5698300,1733918304.0
2020-01-20,2.753,2.757,2.742,2.755,4597681,1403798608.0
2020-01-21,2.737,2.74,2.701,2.704,5742114,1733470144.0
2020-01-22,2.697,2.71,2.653,2.703,7377273,2206473248.0
2020-01-23,2.679,2.685,2.601,2.622,7676313,2259669968.0
2020-02-03,2.392,2.451,2.364,2.404,15627326,4240677392.0
2020-02-04,2.412,2.484,2.407,2.482,8178730,2257436608.0
2020-02-05,2.487,2.52,2.467,2.498,6744510,1887652240.0
2020-02-06,2.51,2.557,2.497,2.539,4796259,1355467184.0
2020-02-07,2.523,2.539,2.508,2.538,3829748,1081348896.0
2020-02-10,2.514,2.541,2.507,2.536,4670018,1321198144.0
2020-02-11,2.545,2.58,2.54,2.567,3629418,1041562672.0
2020-02-12,2.564,2.584,2.549,2.58,2661449,764857504.0
2020-02-13,2.58,2.595,2.559,2.566,2443407,703124400.0
2020-02-14,2.558,2.587,2.558,2.582,3298032,949425520.0
2020-02-17,2.585,2.638,2.583,2.636,4378670,1276703936.0
2020-02-18,2.628,2.63,2.6,2.61,3601767,1051016880.0
2020-02-19,2.606,2.628,2.602,2.61,3565496,1040185152.0
2020-02-20,2.615,2.667,2.603,2.664,6843243,2009605520.0
2020-02-21,2.652,2.68,2.646,2.655,3668062,1085537216.0
2020-02-24,2.638,2.643,2.606,2.621,4382140,1281840400.0
2020-02-25,2.592,2.602,2.559,2.596,6583575,1900506880.0
2020-02-26,2.565,2.616,2.558,2.591,7132265,2067002720.0
2020-02-27,2.591,2.611,2.589,2.595,3810776,1106765216.0
2020-02-28,2.547,2.573,2.503,2.511,6958786,1971727568.0
2020-03-02,2.526,2.612,2.526,2.596,5700194,1641373280.0
2020-03-03,2.627,2.638,2.597,2.604,5648109,1650452912.0
2020-03-04,2.602,2.637,2.6,2.636,3945323,1152620000.0
2020-03-05,2.652,2.711,2.643,2.701,7928070,2366716688.0
2020-03-06,2.675,2.686,2.647,2.648,4933353,1463182960.0
2020-03-09,2.601,2.604,2.553,2.558,7865403,2258974320.0
2020-03-10,2.557,2.623,2.538,2.608,9551270,2763644896.0
2020-03-11,2.608,2.613,2.57,2.571,5469558,1581385488.0
2020-03-12,2.542,2.553,2.513,2.533,6014655,1705302816.0
2020-03-13,2.421,2.515,2.398,2.493,8597762,2369733312.0
2020-03-16,2.482,2.482,2.378,2.384,7285986,1991427280.0
2020-03-17,2.397,2.426,2.32,2.372,8883950,2379071808.0
2020-03-18,2.384,2.41,2.312,2.315,7663966,2048682912.0
2020-03-19,2.306,2.335,2.202,2.261,11665556,2985488976.0
2020-03-20,2.281,2.326,2.269,2.321,10753990,2795675728.0
2020-03-23,2.238,2.277,2.233,2.25,7636468,1951635840.0
2020-03-24,2.297,2.328,2.279,2.324,10163562,2655033936.0
2020-03-25,2.384,2.395,2.365,2.384,11965469,3213754592.0
2020-03-26,2.364,2.403,2.359,2.374,4460332,1197526256.0
2020-03-27,2.406,2.422,2.387,2.389,5194138,1404266480.0
2020-03-30,2.356,2.382,2.349,2.377,4587443,1224202960.0
2020-03-31,2.397,2.404,2.367,2.372,4571934,1229132128.0
2020-04-01,2.368,2.407,2.363,2.368,4784450,1285444976.0
2020-04-02,2.353,2.405,2.349,2.403,3645416,976648080.0
2020-04-03,2.395,2.405,2.382,2.391,3308723,892025936.0
2020-04-07,2.437,2.447,2.428,2.44,4249028,1164693408.0
2020-04-08,2.427,2.438,2.42,2.427,2619263,715194320.0
2020-04-09,2.437,2.443,2.432,2.436,2510024,688032688.0
2020-04-10,2.436,2.47,2.428,2.435,4257052,1170042352.0
2020-04-13,2.428,2.432,2.416,2.423,2683957,732041648.0
2020-04-14,2.44,2.468,2.431,2.468,3425699,943543424.0
2020-04-15,2.463,2.472,2.447,2.448,3031442,836605920.0
2020-04-16,2.439,2.454,2.437,2.45,2345026,644853520.0
2020-04-17,2.472,2.508,2.464,2.49,5300096,1479444368.0
2020-04-20,2.494,2.504,2.481,2.5,2891719,808721472.0
2020-04-21,2.494,2.495,2.453,2.468,2966626,821914112.0
2020-04-22,2.46,2.488,2.452,2.487,3434283,952132032.0
2020-04-23,2.492,2.504,2.479,2.484,2661707,743377536.0
2020-04-24,2.472,2.473,2.456,2.462,2567856,709988736.0
2020-04-27,2.465,2.501,2.465,2.487,4702763,1313548240.0
2020-04-28,2.494,2.514,2.465,2.507,3156900,884392064.0
2020-04-29,2.501,2.534,2.498,2.526,3204384,904967248.0
2020-04-30,2.535,2.567,2.53,2.549,2623122,748633616.0
