date,open,high,low,close,volume,amount,turnover
2020-01-02,1.894,1.916,1.881,1.914,314632,22730467.0,0.97
2020-01-03,1.919,1.924,1.908,1.922,121263,8850369.0,0.38
2020-01-06,1.914,1.957,1.905,1.941,199792,14717455.0,0.62
2020-01-07,1.935,1.974,1.935,1.974,150321,11189727.0,0.46
2020-01-08,1.96,1.979,1.938,1.949,165642,12348370.0,0.51
2020-01-09,1.963,1.979,1.96,1.976,227628,17030897.0,0.7
2020-01-10,1.979,1.985,1.963,1.974,199548,14970348.0,0.62
2020-01-13,1.974,2.001,1.96,2.001,163503,12293158.0,0.51
2020-01-14,2.007,2.009,1.993,1.996,170124,12939916.0,0.53
2020-01-15,1.996,2.001,1.957,1.993,166425,12561583.0,0.51
2020-01-16,1.998,2.004,1.99,1.996,208252,15798676.0,0.64
2020-01-17,1.996,2.004,1.982,1.985,291624,22082874.0,0.9
2020-01-20,1.985,2.015,1.982,2.015,173055,13127979.0,0.54
2020-01-21,2.015,2.015,1.993,1.993,282967,21525734.0,0.88
2020-01-22,1.985,2.012,1.955,2.007,231938,17490708.0,0.72
2020-01-23,1.998,1.998,1.908,1.933,349906,26152462.0,1.08
2020-02-03,1.749,1.796,1.733,1.733,177875,11969791.0,0.55
2020-02-04,1.722,1.823,1.722,1.758,178135,11888241.0,0.55
2020-02-05,1.755,1.837,1.755,1.821,286671,19750745.0,0.89
2020-02-06,1.823,1.881,1.801,1.872,206936,14552585.0,0.64
2020-02-07,1.859,1.897,1.859,1.892,220110,15735465.0,0.68
2020-02-10,1.875,1.924,1.875,1.919,196136,14225602.0,0.61
2020-02-11,1.919,1.922,1.897,1.914,187191,13620337.0,0.58
2020-02-12,1.911,1.96,1.903,1.96,153984,11347255.0,0.48
2020-02-13,1.949,1.968,1.941,1.949,198907,14767704.0,0.62
2020-02-14,1.946,1.976,1.933,1.957,229431,17076582.0,0.71
2020-02-17,1.96,2.037,1.96,2.034,293283,22291889.0,0.91
2020-02-18,2.039,2.089,2.034,2.089,300708,23474383.0,0.93
2020-02-19,2.089,2.097,2.061,2.072,359575,28375818.0,1.11
2020-02-20,2.069,2.108,2.048,2.105,236265,18629657.0,0.73
2020-02-21,2.102,2.16,2.1,2.154,308618,24973875.0,0.95
2020-02-24,2.146,2.212,2.143,2.198,535015,44285279.0,1.65
2020-02-25,2.16,2.214,2.094,2.209,412366,33884235.0,1.28
2020-02-26,2.154,2.198,2.127,2.135,264925,21751232.0,0.82
2020-02-27,2.143,2.165,2.105,2.135,299416,24114310.0,0.93
2020-02-28,2.08,2.086,1.996,1.998,455588,35131755.0,1.41
2020-03-02,2.012,2.113,2.004,2.11,380199,29893995.0,1.18
2020-03-03,2.152,2.176,2.105,2.127,310236,25193389.0,0.96
2020-03-04,2.102,2.143,2.089,2.138,353165,28308249.0,1.09
2020-03-05,2.168,2.179,2.149,2.176,272612,22333978.0,0.84
2020-03-06,2.152,2.179,2.143,2.162,187552,15330487.0,0.58
