date,middlePB,close,pb_pct
2005-01-04,2.04,1242.77,
2005-01-05,2.08,1251.94,
2005-01-06,2.06,1239.43,
2005-01-07,2.06,1244.75,
2005-01-10,2.08,1252.4,
2005-01-11,2.09,1257.46,
2005-01-12,2.09,1256.92,
2005-01-13,2.1,1256.31,
2005-01-14,2.06,1245.62,
2005-01-17,2.01,1216.65,
2005-01-18,2.04,1225.45,
2005-01-19,2.04,1218.11,
2005-01-20,2.0,1204.39,
2005-01-21,2.04,1234.48,
2005-01-24,2.09,1255.78,
2005-01-25,2.07,1254.23,
2005-01-26,2.05,1241.96,
2005-01-27,2.01,1225.89,
2005-01-28,1.96,1213.67,
2005-01-31,1.89,1191.82,
2005-02-01,1.87,1188.93,
2005-02-02,1.99,1252.5,
2005-02-03,1.94,1242.31,
2005-02-04,1.97,1269.0,
2005-02-16,2.0,1278.88,
2005-02-17,2.01,1276.13,
2005-02-18,1.99,1258.97,
2005-02-21,2.02,1284.48,
2005-02-22,2.07,1309.28,
2005-02-23,2.09,1309.48,
2005-02-24,2.09,1309.95,
2005-02-25,2.1,1312.45,
2005-02-28,2.11,1306.0,
2005-03-01,2.1,1303.41,
2005-03-02,2.06,1287.45,
2005-03-03,2.07,1294.34,
2005-03-04,2.06,1287.71,
2005-03-07,2.08,1293.74,
2005-03-08,2.12,1318.27,
2005-03-09,2.12,1316.79,
2005-03-10,2.05,1286.23,
2005-03-11,2.07,1289.94,
2005-03-14,2.05,1293.5,
2005-03-15,2.02,1269.14,
2005-03-16,2.0,1255.59,
2005-03-17,1.97,1243.48,
2005-03-18,1.93,1227.4,
2005-03-21,1.95,1231.05,
2005-03-22,1.88,1206.92,
2005-03-23,1.88,1201.65,
2005-03-24,1.91,1208.19,
2005-03-25,1.9,1205.63,
2005-03-28,1.88,1200.11,
2005-03-29,1.86,1195.02,
2005-03-30,1.8,1172.57,
2005-03-31,1.81,1181.24,
2005-04-01,1.87,1223.57,
2005-04-04,1.84,1202.97,
2005-04-05,1.82,1191.75,
2005-04-06,1.85,1214.87,
2005-04-07,1.88,1225.49,
2005-04-08,1.9,1248.52,
2005-04-11,1.91,1240.97,
2005-04-12,1.86,1219.51,
2005-04-13,1.92,1248.2,
2005-04-14,1.89,1234.33,
2005-04-15,1.83,1216.96,
2005-04-18,1.79,1197.74,
2005-04-19,1.79,1199.9,
2005-04-20,1.74,1184.19,
2005-04-21,1.7,1172.56,
2005-04-22,1.67,1169.19,
2005-04-25,1.63,1157.97,
2005-04-26,1.67,1165.34,
2005-04-27,1.64,1148.76,
2005-04-28,1.7,1169.12,
2005-04-29,1.66,1159.15,
2005-05-09,1.61,1130.84,
2005-05-10,1.61,1135.56,
2005-05-11,1.6,1124.27,
2005-05-12,1.58,1103.99,
2005-05-13,1.6,1107.63,
2005-05-16,1.61,1095.47,
2005-05-17,1.63,1099.64,
2005-05-18,1.64,1102.97,
2005-05-19,1.65,1103.48,
2005-05-20,1.64,1099.27,
2005-05-23,1.57,1070.84,
2005-05-24,1.61,1073.85,
2005-05-25,1.62,1072.14,
2005-05-26,1.61,1058.87,
2005-05-27,1.61,1051.95,
2005-05-30,1.63,1060.16,
2005-05-31,1.62,1060.74,
2005-06-01,1.58,1039.19,
2005-06-02,1.56,1016.06,
2005-06-03,1.56,1013.64,
2005-06-06,1.58,1034.38,
2005-06-07,1.59,1030.94,
2005-06-08,1.71,1115.58,
2005-06-09,1.73,1131.05,
2005-06-10,1.7,1108.29,
2005-06-13,1.71,1106.29,
2005-06-14,1.68,1093.46,
2005-06-15,1.63,1072.84,
2005-06-16,1.64,1086.01,
2005-06-17,1.63,1085.61,
2005-06-20,1.67,1115.62,
2005-06-21,1.65,1101.49,
2005-06-22,1.66,1102.03,
2005-06-23,1.64,1093.7,
2005-06-24,1.65,1101.88,
2005-06-27,1.7,1124.64,
2005-06-28,1.66,1108.59,
2005-06-29,1.66,1104.99,
2005-06-30,1.62,1080.94,
2005-07-01,1.55,1055.59,
2005-07-04,1.53,1047.28,
2005-07-05,1.52,1039.04,
2005-07-06,1.52,1033.55,
2005-07-07,1.52,1038.6,
2005-07-08,1.47,1017.98,
2005-07-11,1.44,1011.5,
2005-07-12,1.49,1046.16,
2005-07-13,1.48,1037.39,
2005-07-14,1.48,1040.42,
2005-07-15,1.44,1026.12,
2005-07-18,1.39,1012.1,
2005-07-19,1.4,1014.36,
2005-07-20,1.41,1021.05,
2005-07-21,1.4,1020.63,
2005-07-22,1.42,1046.32,
2005-07-25,1.42,1045.4,
2005-07-26,1.45,1072.81,
2005-07-27,1.49,1089.91,
2005-07-28,1.48,1086.55,
2005-07-29,1.48,1083.03,
2005-08-01,1.49,1088.95,
2005-08-02,1.53,1104.04,
2005-08-03,1.54,1107.7,
2005-08-04,1.53,1102.59,
2005-08-05,1.58,1128.74,
2005-08-08,1.6,1138.88,
2005-08-09,1.63,1152.53,
2005-08-10,1.66,1165.03,
2005-08-11,1.68,1183.58,
2005-08-12,1.64,1167.92,
2005-08-15,1.68,1187.01,
2005-08-16,1.69,1177.28,
2005-08-17,1.73,1192.83,
2005-08-18,1.65,1148.04,
2005-08-19,1.64,1150.18,
2005-08-22,1.67,1158.6,
2005-08-23,1.63,1149.96,
2005-08-24,1.66,1167.14,
2005-08-25,1.69,1172.48,
2005-08-26,1.7,1171.86,
2005-08-29,1.67,1154.43,
2005-08-30,1.66,1146.39,
2005-08-31,1.7,1162.8,
2005-09-01,1.75,1184.93,
2005-09-02,1.76,1188.85,
2005-09-05,1.78,1196.22,
2005-09-06,1.74,1173.32,
2005-09-07,1.79,1194.31,
2005-09-08,1.79,1194.41,
2005-09-09,1.77,1189.63,
2005-09-12,1.77,1188.21,
2005-09-13,1.8,1207.16,
2005-09-14,1.83,1217.26,
2005-09-15,1.84,1217.28,
2005-09-16,1.84,1212.95,
2005-09-19,1.86,1220.63,
2005-09-20,1.85,1212.62,
2005-09-21,1.82,1187.99,
2005-09-22,1.76,1159.96,
2005-09-23,1.74,1151.98,
2005-09-26,1.76,1155.04,
2005-09-27,1.72,1133.24,
2005-09-28,1.71,1131.77,
2005-09-29,1.75,1155.49,
2005-09-30,1.73,1155.61,
2005-10-10,1.7,1138.95,
2005-10-11,1.74,1157.19,
2005-10-12,1.76,1161.85,
2005-10-13,1.76,1152.61,
2005-10-14,1.73,1139.55,
2005-10-17,1.72,1131.38,
2005-10-18,1.75,1141.2,
2005-10-19,1.73,1134.61,
2005-10-20,1.73,1135.95,
2005-10-21,1.75,1141.32,
2005-10-24,1.73,1141.17,
2005-10-25,1.69,1121.92,
2005-10-26,1.63,1097.16,
2005-10-27,1.61,1097.78,
2005-10-28,1.55,1080.87,
2005-10-31,1.58,1092.82,
2005-11-01,1.56,1089.95,
2005-11-02,1.6,1104.79,
2005-11-03,1.58,1095.27,
2005-11-04,1.6,1100.05,
2005-11-07,1.61,1100.65,
2005-11-08,1.64,1110.15,
2005-11-09,1.64,1108.15,
2005-11-10,1.58,1088.3,
2005-11-11,1.61,1090.2,
2005-11-14,1.6,1088.65,
2005-11-15,1.59,1087.51,
2005-11-16,1.61,1095.89,
2005-11-17,1.6,1095.31,
2005-11-18,1.64,1117.0,
2005-11-21,1.65,1119.94,
2005-11-22,1.61,1098.66,
2005-11-23,1.62,1105.75,
2005-11-24,1.64,1113.37,
2005-11-25,1.64,1114.92,
2005-11-28,1.63,1110.82,
2005-11-29,1.61,1096.99,
2005-11-30,1.6,1099.26,
2005-12-01,1.6,1098.75,
2005-12-02,1.57,1094.29,
2005-12-05,1.52,1079.2,
2005-12-06,1.53,1087.79,
2005-12-07,1.54,1099.62,
2005-12-08,1.55,1098.32,
2005-12-09,1.58,1113.48,
2005-12-12,1.59,1116.37,
2005-12-13,1.59,1117.85,
2005-12-14,1.61,1125.39,
2005-12-15,1.6,1123.56,
2005-12-16,1.61,1127.51,
2005-12-19,1.59,1131.75,
2005-12-20,1.6,1136.34,
2005-12-21,1.57,1130.76,
2005-12-22,1.58,1135.24,
2005-12-23,1.61,1144.87,
2005-12-26,1.62,1156.82,
2005-12-27,1.61,1154.29,
2005-12-28,1.61,1157.03,
2005-12-29,1.64,1169.86,
2005-12-30,1.62,1161.06,
2006-01-04,1.65,1180.96,
2006-01-05,1.67,1197.27,
2006-01-06,1.69,1209.42,
2006-01-09,1.7,1215.67,
2006-01-10,1.71,1220.62,
2006-01-11,1.69,1211.05,
2006-01-12,1.72,1226.7,
2006-01-13,1.73,1221.46,
2006-01-16,1.69,1202.87,
2006-01-17,1.7,1208.44,
2006-01-18,1.73,1233.35,
2006-01-19,1.74,1251.58,
2006-01-20,1.74,1255.31,
2006-01-23,1.75,1255.77,
2006-01-24,1.75,1252.06,
2006-01-25,1.73,1258.05,
2006-02-06,1.78,1287.63,
2006-02-07,1.77,1282.1,
2006-02-08,1.78,1290.06,
2006-02-09,1.74,1269.45,
2006-02-10,1.76,1282.66,
2006-02-13,1.76,1279.64,
2006-02-14,1.77,1286.33,
2006-02-15,1.78,1299.17,
2006-02-16,1.71,1270.63,
2006-02-17,1.69,1267.41,
2006-02-20,1.7,1267.54,
2006-02-21,1.73,1288.42,
2006-02-22,1.74,1284.23,
2006-02-23,1.74,1288.85,
2006-02-24,1.75,1296.87,
2006-02-27,1.73,1297.19,
2006-02-28,1.73,1299.03,
2006-03-01,1.75,1306.59,
2006-03-02,1.7,1285.67,
2006-03-03,1.7,1293.3,
2006-03-06,1.68,1288.96,
2006-03-07,1.63,1259.92,
2006-03-08,1.62,1250.38,
2006-03-09,1.61,1245.17,
2006-03-10,1.62,1245.65,
2006-03-13,1.62,1259.67,
2006-03-14,1.62,1259.04,
2006-03-15,1.63,1274.81,
2006-03-16,1.64,1274.19,
2006-03-17,1.64,1269.46,
2006-03-20,1.65,1288.42,
2006-03-21,1.67,1290.4,
2006-03-22,1.68,1296.71,
2006-03-23,1.71,1302.46,
2006-03-24,1.69,1294.7,
2006-03-27,1.71,1295.92,
2006-03-28,1.73,1298.79,
2006-03-29,1.73,1305.57,
2006-03-30,1.69,1294.72,
2006-03-31,1.69,1298.3,
2006-04-03,1.73,1319.47,
2006-04-04,1.75,1329.8,
2006-04-05,1.77,1340.16,
2006-04-06,1.76,1339.74,
2006-04-07,1.75,1342.97,
2006-04-10,1.79,1359.08,
2006-04-11,1.79,1362.23,
2006-04-12,1.78,1360.13,
2006-04-13,1.73,1332.33,
2006-04-14,1.76,1359.54,
2006-04-17,1.75,1378.61,
2006-04-18,1.74,1385.11,
2006-04-19,1.75,1396.7,
2006-04-20,1.72,1385.9,
2006-04-21,1.73,1416.79,
2006-04-24,1.71,1409.79,
2006-04-25,1.7,1399.77,
2006-04-26,1.73,1417.48,
2006-04-27,1.75,1416.73,
2006-04-28,1.76,1440.22,
2006-05-08,1.81,1497.1,
2006-05-09,1.88,1531.16,
2006-05-10,1.92,1545.69,
2006-05-11,1.9,1537.38,
2006-05-12,1.98,1602.83,
2006-05-15,2.07,1664.09,
2006-05-16,1.99,1613.25,
2006-05-17,2.04,1625.15,
2006-05-18,2.07,1617.28,
2006-05-19,2.14,1659.55,
2006-05-22,2.19,1657.69,
2006-05-23,2.08,1604.55,
2006-05-24,2.03,1590.92,
2006-05-25,2.05,1591.43,
2006-05-26,2.11,1613.89,
2006-05-29,2.17,1648.54,
2006-05-30,2.2,1657.29,
2006-05-31,2.2,1641.3,
2006-06-01,2.32,1684.2,
2006-06-02,2.28,1669.4,
2006-06-05,2.33,1684.62,
2006-06-06,2.32,1679.13,
2006-06-07,2.16,1589.55,
2006-06-08,2.16,1591.49,
2006-06-09,2.07,1551.38,
2006-06-12,2.09,1552.8,
2006-06-13,2.07,1548.5,
2006-06-14,2.07,1531.33,
2006-06-15,2.08,1533.98,
2006-06-16,2.12,1574.47,
2006-06-19,2.15,1586.29,
2006-06-20,2.19,1592.33,
2006-06-21,2.16,1598.12,
2006-06-22,2.17,1596.07,
2006-06-23,2.18,1605.71,
2006-06-26,2.24,1633.45,
2006-06-27,2.25,1639.55,
2006-06-28,2.22,1639.29,
2006-06-29,2.28,1671.62,
2006-06-30,2.26,1672.21,
2006-07-03,2.31,1697.28,
2006-07-04,2.31,1681.55,
2006-07-05,2.29,1718.56,
2006-07-06,2.36,1741.47,
2006-07-07,2.35,1730.19,
2006-07-10,2.36,1734.33,
2006-07-11,2.38,1745.81,
2006-07-12,2.38,1740.0,
2006-07-13,2.22,1655.77,
2006-07-14,2.24,1665.21,
2006-07-17,2.27,1682.89,
2006-07-18,2.27,1684.25,
2006-07-19,2.22,1645.16,
2006-07-20,2.22,1655.12,
2006-07-21,2.26,1665.33,
2006-07-24,2.26,1665.94,
2006-07-25,2.28,1685.46,
2006-07-26,2.29,1686.65,
2006-07-27,2.26,1675.17,
2006-07-28,2.25,1662.03,
2006-07-31,2.15,1612.73,
2006-08-01,2.11,1600.61,
2006-08-02,2.1,1600.87,
2006-08-03,2.09,1601.06,
2006-08-04,2.04,1570.15,
2006-08-07,1.94,1547.44,
2006-08-08,2.01,1580.58,
2006-08-09,2.02,1578.57,
2006-08-10,2.06,1606.07,
2006-08-11,2.07,1605.93,
2006-08-14,1.99,1570.74,
2006-08-15,2.03,1595.66,
2006-08-16,2.06,1616.41,
2006-08-17,2.05,1603.33,
2006-08-18,2.04,1598.02,
2006-08-21,2.04,1601.15,
2006-08-22,2.06,1613.36,
2006-08-23,2.05,1612.4,
2006-08-24,2.08,1623.02,
2006-08-25,2.08,1623.03,
2006-08-28,2.12,1650.44,
2006-08-29,2.12,1651.02,
2006-08-30,2.13,1655.2,
2006-08-31,2.14,1658.64,
2006-09-01,2.1,1636.69,
2006-09-04,2.14,1657.52,
2006-09-05,2.15,1664.08,
2006-09-06,2.14,1672.12,
2006-09-07,2.11,1661.19,
2006-09-08,2.12,1667.98,
2006-09-11,2.13,1674.97,
2006-09-12,2.15,1695.86,
2006-09-13,2.12,1689.39,
2006-09-14,2.14,1689.69,
2006-09-15,2.17,1721.05,
2006-09-18,2.19,1732.99,
2006-09-19,2.2,1735.24,
2006-09-20,2.21,1732.45,
2006-09-21,2.21,1740.9,
2006-09-22,2.19,1725.36,
2006-09-25,2.2,1722.37,
2006-09-26,2.2,1712.64,
2006-09-27,2.23,1725.04,
2006-09-28,2.25,1736.96,
2006-09-29,2.27,1752.42,
2006-10-09,2.3,1785.39,
2006-10-10,2.3,1784.86,
2006-10-11,2.3,1790.1,
2006-10-12,2.27,1778.18,
2006-10-13,2.28,1784.66,
2006-10-16,2.25,1771.3,
2006-10-17,2.25,1763.9,
2006-10-18,2.27,1787.19,
2006-10-19,2.28,1792.25,
2006-10-20,2.24,1790.36,
2006-10-23,2.18,1759.39,
2006-10-24,2.23,1805.18,
2006-10-25,2.24,1806.65,
2006-10-26,2.23,1810.65,
2006-10-27,2.19,1807.18,
2006-10-30,2.16,1809.66,
2006-10-31,2.19,1837.99,
2006-11-01,2.2,1855.71,
2006-11-02,2.19,1851.31,
2006-11-03,2.19,1866.36,
2006-11-06,2.18,1886.31,
2006-11-07,2.17,1889.53,
2006-11-08,2.16,1866.82,
2006-11-09,2.19,1896.48,
2006-11-10,2.12,1883.35,
2006-11-13,2.03,1863.77,
2006-11-14,2.05,1888.24,
2006-11-15,2.07,1922.94,
2006-11-16,2.04,1941.55,
2006-11-17,2.08,1971.79,
2006-11-20,2.07,2017.28,
2006-11-21,2.1,2037.55,
2006-11-22,2.12,2041.36,
2006-11-23,2.13,2062.36,
2006-11-24,2.15,2050.81,
2006-11-27,2.18,2047.28,
2006-11-28,2.18,2038.72,
2006-11-29,2.19,2054.09,
2006-11-30,2.22,2099.29,
2006-12-01,2.22,2102.05,
2006-12-04,2.27,2161.65,
2006-12-05,2.3,2173.29,
2006-12-06,2.26,2156.6,
2006-12-07,2.25,2156.75,
2006-12-08,2.17,2093.64,
2006-12-11,2.23,2180.5,
2006-12-12,2.23,2218.95,
2006-12-13,2.23,2223.46,
2006-12-14,2.26,2249.11,
2006-12-15,2.3,2273.91,
2006-12-18,2.33,2332.43,
2006-12-19,2.35,2364.18,
2006-12-20,2.38,2373.21,
2006-12-21,2.36,2342.94,
2006-12-22,2.36,2343.67,
2006-12-25,2.36,2435.76,
2006-12-26,2.31,2479.73,
2006-12-27,2.32,2536.39,
2006-12-28,2.27,2567.59,
2006-12-29,2.3,2675.47,
2007-01-04,2.31,2715.72,
2007-01-05,2.38,2641.33,
2007-01-08,2.5,2707.2,
2007-01-09,2.57,2807.8,
2007-01-10,2.61,2825.58,
2007-01-11,2.64,2770.11,
2007-01-12,2.54,2668.11,
2007-01-15,2.65,2794.7,
2007-01-16,2.75,2821.02,
2007-01-17,2.72,2778.9,
2007-01-18,2.8,2756.98,
2007-01-19,2.88,2832.21,
2007-01-22,3.02,2933.19,
2007-01-23,3.03,2949.14,
2007-01-24,3.08,2975.13,
2007-01-25,2.94,2857.37,
2007-01-26,2.94,2882.56,0.99
2007-01-29,3.04,2945.26,0.9960079840319361
2007-01-30,3.02,2930.56,0.9900398406374502
2007-01-31,2.88,2786.34,0.9821073558648111
